sales_id,customer_id,product_id,date,ts,amount,price_pp
1,80,000037,2017-12-30,1504002924000,10,377
2,30,000041,2019-01-13,1590771445000,6,543
3,99,000026,2018-01-23,1512181143000,4,239
4,28,000047,2019-02-10,1554899341000,2,941
5,64,000022,2019-06-01,1546442351000,5,736
6,57,000004,2017-05-01,1557423197000,9,939
7,7,000022,2018-07-02,1568912072000,6,702
8,81,000032,2018-12-31,1565984976000,2,839
9,12,000037,2020-02-24,1508075372000,2,32
10,5,000040,2018-07-10,1566436755000,10,262
11,80,000037,2018-10-11,1583789534000,10,831
12,94,000026,2019-10-26,1494610267000,8,39
13,70,000015,2019-04-30,1570372125000,1,422
14,65,000026,2018-02-11,1537430115000,7,860
15,34,000043,2020-01-18,1526215832000,10,428
16,42,000044,2019-05-29,1567237858000,8,228
17,48,000007,2018-04-25,1574737262000,4,909
18,69,000028,2019-10-16,1569558277000,8,798
19,46,000014,2018-08-08,1582508197000,2,693
20,40,000012,2019-10-07,1542316801000,7,652
21,3,000028,2017-09-07,1497113617000,2,706
22,72,000036,2020-02-15,1569521758000,1,138
23,92,000050,2019-09-29,1515465471000,8,501
24,16,000034,2019-08-18,1540032457000,10,713
25,60,000035,2018-02-21,1500231261000,4,787
26,19,000032,2019-10-03,1576498202000,5,513
27,24,000018,2017-06-24,1527518173000,8,572
28,62,000015,2019-05-04,1514423825000,2,993
29,36,000021,2017-09-27,1520700865000,1,139
30,21,000034,2019-07-25,1516486839000,1,140
31,60,000031,2019-03-16,1539645641000,3,63
32,71,000022,2019-04-21,1583704916000,6,332
33,70,000012,2018-07-20,1533597275000,2,293
34,88,000045,2018-09-23,1504416843000,10,659
35,42,000041,2018-09-30,1509555845000,2,584
36,26,000048,2018-11-24,1513591512000,8,874
37,66,000015,2018-09-01,1553291787000,5,652
38,14,000047,2020-02-28,1511539360000,3,6
39,3,000004,2020-04-06,1538051640000,8,857
40,88,000020,2019-10-13,1572028693000,6,233
41,90,000020,2018-02-02,1535340531000,2,175
42,61,000020,2019-08-16,1590462935000,7,603
43,80,000031,2018-12-15,1548662955000,9,717
44,57,000025,2020-01-06,1549133505000,1,492
45,4,000004,2019-04-01,1535773286000,1,827
46,35,000028,2019-08-10,1499648432000,5,289
47,28,000025,2019-02-28,1525613181000,5,9
48,3,000023,2019-04-28,1576981315000,7,887
49,76,000031,2019-07-20,1590372743000,6,576
50,4,000016,2020-02-14,1502695463000,5,304
51,63,000015,2019-05-09,1540567547000,2,508
52,89,000029,2017-11-25,1515396497000,8,167
53,57,000049,2018-05-24,1566523559000,1,765
54,19,000037,2020-01-01,1553018123000,6,756
55,17,000013,2018-01-20,1513878473000,5,274
56,82,000015,2020-01-15,1529501987000,8,85
57,54,000019,2018-05-20,1570668073000,4,862
58,55,000025,2017-12-22,1573924022000,7,524
59,32,000046,2018-01-30,1545371941000,10,962
60,88,000049,2020-02-02,1514587263000,1,7
61,99,000041,2017-09-29,1584932843000,8,730
62,44,000012,2017-09-06,1538829154000,10,459
63,65,000004,2020-05-05,1527346858000,6,318
64,24,000014,2017-07-26,1563178497000,8,305
65,47,000033,2018-12-08,1538927446000,8,102
66,29,000044,2017-08-26,1573980687000,6,772
67,98,000005,2018-01-15,1524448120000,2,522
68,71,000047,2019-07-13,1538396272000,4,717
69,97,000048,2019-12-16,1547492311000,2,902
70,23,000030,2017-11-27,1541422602000,5,107
71,69,000030,2019-12-24,1552548987000,4,70
72,45,000031,2020-03-29,1583541648000,3,949
73,9,000044,2019-05-04,1530546680000,6,959
74,30,000028,2019-10-08,1557078122000,5,800
75,78,000026,2017-08-25,1500437910000,6,545
76,18,000027,2020-04-11,1527910134000,8,779
77,44,000048,2019-03-06,1564471277000,5,129
78,11,000035,2018-03-15,1585140629000,2,385
79,75,000007,2020-05-09,1532233510000,3,96
80,36,000004,2017-06-05,1498827062000,3,3
81,95,000001,2019-02-09,1522450975000,6,362
82,55,000024,2019-05-08,1531032670000,9,70
83,44,000018,2019-02-12,1548185425000,10,963
84,59,000018,2019-10-29,1503239364000,5,639
85,71,000012,2019-06-23,1556550140000,4,521
86,91,000049,2018-05-15,1570436691000,7,583
87,87,000049,2018-03-24,1532689943000,10,820
88,46,000018,2018-12-09,1495777709000,9,917
89,64,000002,2019-05-13,1570573964000,3,284
90,94,000031,2018-03-05,1532691260000,4,740
91,36,000041,2018-01-20,1507708044000,8,176
92,92,000040,2019-04-27,1578230177000,1,855
93,72,000050,2017-12-20,1523564590000,10,604
94,89,000007,2017-10-18,1556896226000,7,83
95,35,000039,2019-09-29,1550613872000,7,489
96,3,000030,2019-07-19,1579718094000,1,89
97,96,000026,2018-02-06,1500457293000,5,738
98,48,000021,2018-11-22,1542087851000,7,124
99,86,000042,2017-05-24,1514394153000,6,663
100,3,000004,2019-11-11,1513631482000,8,268
101,8,000019,2018-04-29,1549297487000,4,156
102,73,000019,2019-11-13,1553382749000,1,460
103,99,000023,2018-02-20,1503408653000,4,352
104,37,000009,2019-03-29,1570902554000,2,837
105,61,000039,2018-01-18,1567444852000,2,659
106,49,000049,2019-10-11,1513241594000,1,739
107,82,000039,2017-11-16,1564985444000,3,337
108,25,000022,2017-10-17,1534659592000,10,602
109,62,000037,2019-02-14,1564893951000,5,934
110,12,000043,2018-07-17,1565383262000,5,733
111,4,000046,2018-04-16,1536703904000,4,410
112,38,000049,2018-03-14,1533729007000,8,563
113,23,000028,2018-10-10,1530636513000,8,748
114,14,000026,2019-09-23,1553035305000,10,994
115,12,000045,2020-01-21,1531098855000,8,3
116,63,000008,2020-03-04,1493881553000,4,219
117,94,000032,2019-01-16,1513734739000,6,511
118,14,000019,2019-09-20,1548870389000,4,800
119,82,000018,2018-12-30,1574477673000,3,180
120,85,000017,2019-02-22,1504358386000,6,846
121,56,000008,2017-09-17,1504990450000,10,745
122,5,000016,2017-06-17,1555174342000,4,920
123,46,000004,2017-10-07,1538706961000,7,813
124,60,000049,2019-01-09,1499693564000,7,390
125,73,000014,2019-10-14,1568859622000,3,890
126,60,000047,2019-04-19,1540253218000,9,905
127,96,000034,2019-03-15,1546583639000,4,648
128,76,000020,2017-09-23,1522822027000,7,258
129,33,000022,2019-10-29,1557667175000,1,825
130,98,000024,2017-11-01,1568550397000,5,873
131,32,000019,2019-03-29,1562082688000,10,885
132,56,000020,2017-06-01,1532005664000,10,119
133,91,000026,2020-02-23,1500769302000,5,918
134,95,000017,2019-02-26,1515517994000,5,388
135,90,000033,2018-07-31,1495949993000,5,535
136,57,000006,2019-05-04,1498904826000,2,258
137,43,000016,2019-12-05,1571182458000,2,853
138,70,000032,2019-03-25,1525519258000,1,642
139,24,000008,2017-09-10,1568875530000,5,478
140,23,000040,2017-10-22,1525960921000,8,314
141,72,000019,2019-08-13,1512617245000,9,304
142,60,000035,2017-09-29,1583396543000,2,494
143,52,000047,2017-05-16,1527034037000,7,742
144,49,000044,2019-05-10,1504035272000,8,947
145,36,000010,2018-04-05,1510566889000,8,406
146,53,000028,2019-03-02,1509219302000,4,1000
147,86,000034,2017-08-13,1538944115000,10,824
148,45,000026,2019-07-28,1537513504000,4,619
149,75,000026,2019-01-03,1496086439000,9,495
150,50,000030,2019-12-19,1542599675000,9,613
151,5,000021,2018-10-13,1583000946000,1,241
152,86,000036,2020-04-14,1580007372000,4,578
153,73,000024,2019-02-06,1544186892000,5,781
154,78,000006,2018-08-19,1515559723000,9,645
155,24,000009,2019-05-28,1536162456000,3,115
156,97,000050,2018-10-24,1554564923000,9,918
157,2,000034,2019-07-13,1558466764000,1,217
158,23,000009,2018-01-25,1498059863000,7,516
159,90,000009,2018-03-07,1564062797000,8,449
160,71,000045,2017-10-28,1556628798000,9,727
161,16,000050,2020-04-29,1534935046000,7,817
162,86,000032,2019-05-07,1531923865000,10,561
163,92,000022,2018-11-09,1577625118000,10,753
164,20,000012,2019-12-13,1582614114000,5,263
165,98,000046,2020-03-16,1508508806000,7,421
166,21,000023,2019-05-19,1509133427000,2,759
167,96,000019,2019-03-06,1545693835000,2,133
168,77,000041,2017-07-13,1511923256000,4,185
169,28,000002,2020-02-12,1546062356000,6,134
170,95,000029,2018-09-06,1531073938000,2,281
171,92,000037,2019-10-16,1540826663000,5,842
172,4,000032,2019-12-06,1494181958000,6,904
173,23,000037,2017-09-21,1570647422000,2,376
174,48,000029,2019-06-22,1549776184000,6,341
175,62,000002,2019-11-27,1510965417000,9,991
176,34,000047,2018-12-10,1577546984000,5,531
177,66,000045,2019-11-21,1555135271000,5,349
178,47,000046,2018-09-22,1587362905000,10,563
179,97,000022,2017-08-26,1542365489000,6,511
180,58,000016,2018-08-05,1546994078000,4,14
181,74,000004,2020-03-02,1583766188000,6,328
182,3,000025,2020-03-09,1555952417000,5,102
183,85,000002,2018-11-12,1499953225000,3,64
184,76,000038,2018-10-18,1539028818000,7,520
185,46,000047,2019-09-26,1546144212000,7,450
186,50,000050,2017-08-06,1524288588000,5,637
187,25,000048,2017-12-12,1541834080000,10,98
188,63,000046,2017-12-06,1497547840000,1,596
189,26,000010,2019-09-26,1542528814000,4,298
190,100,000029,2019-01-02,1571559788000,10,317
191,63,000025,2018-04-09,1579901594000,9,944
192,14,000037,2020-02-29,1580853596000,1,977
193,96,000049,2017-06-20,1585617493000,1,875
194,84,000009,2018-07-03,1585042632000,4,874
195,42,000031,2018-10-19,1509025525000,10,912
196,50,000049,2019-01-01,1587449785000,1,806
197,75,000025,2018-07-08,1529832930000,8,811
198,20,000011,2018-10-07,1556058575000,1,659
199,4,000038,2019-08-15,1519719482000,1,738
200,96,000010,2019-08-18,1513582590000,1,551
201,99,000020,2020-02-07,1496370303000,3,37
202,76,000010,2020-01-02,1497216035000,8,955
203,24,000043,2019-03-28,1510514976000,8,63
204,99,000044,2018-07-30,1574755127000,5,963
205,72,000019,2018-11-20,1549463840000,3,799
206,41,000023,2019-06-30,1571703710000,1,493
207,1,000007,2019-07-04,1530013625000,7,18
208,85,000046,2018-07-17,1567005393000,6,496
209,58,000038,2018-10-26,1502725394000,8,27
210,59,000046,2019-01-05,1548853379000,8,734
211,27,000003,2019-11-23,1526409768000,8,731
212,46,000038,2020-04-21,1528993684000,1,403
213,61,000029,2020-03-02,1541465977000,6,978
214,39,000017,2018-10-24,1531356843000,3,510
215,21,000030,2017-07-08,1521025216000,4,18
216,91,000010,2018-10-18,1539371211000,7,495
217,3,000037,2017-07-09,1575121824000,10,61
218,55,000009,2019-11-06,1574179188000,3,354
219,74,000004,2017-07-18,1567435051000,7,995
220,6,000006,2018-09-26,1510881007000,6,246
221,29,000011,2019-10-19,1567596805000,9,803
222,42,000036,2020-03-18,1507898682000,5,655
223,60,000039,2019-06-12,1578677433000,8,156
224,18,000023,2020-05-21,1584214983000,7,658
225,84,000020,2020-01-27,1498377781000,4,443
226,50,000033,2018-04-21,1526730251000,10,209
227,60,000003,2017-08-23,1577223956000,8,514
228,37,000023,2018-06-12,1529996352000,10,196
229,12,000045,2018-12-26,1565666649000,2,457
230,85,000016,2019-03-29,1580284539000,10,583
231,80,000046,2017-07-26,1523977211000,10,805
232,73,000048,2018-05-18,1522301890000,1,202
233,34,000050,2018-10-04,1584939207000,3,703
234,65,000027,2019-05-21,1499087832000,5,861
235,14,000035,2019-04-01,1580660192000,8,954
236,79,000007,2017-12-08,1520572510000,10,862
237,78,000029,2017-11-21,1587227669000,7,853
238,31,000017,2017-05-02,1542371388000,9,196
239,76,000034,2017-08-08,1567007436000,7,565
240,80,000017,2018-10-23,1567167206000,7,360
241,43,000020,2020-05-19,1566453346000,2,776
242,45,000005,2020-03-12,1552946313000,1,352
243,30,000002,2019-09-05,1566273490000,6,488
244,74,000045,2018-11-24,1523311478000,5,692
245,84,000016,2017-12-07,1565950260000,5,517
