age,bedRoom,category,cityId,countyId,districtId,livingRoom,mainCategory,price,realtyId,sqm,subCategory
6,1,1000010101,41,2058,16800,1,1000010100,170000,10136672,75,10000101
25,2,1000010101,6,1231,10361,1,1000010100,290000,10359381,100,10000101
30,3,1000010101,6,1745,10360,1,1000010100,215000,10441101,145,10000101
25,3,1000010101,6,1745,10632,1,1000010100,225000,10474274,110,10000101
9,3,1000010101,7,1126,20813,1,1000010100,565000,10520108,160,10000101
9,3,1000010101,35,1128,14183,1,1000010100,325000,10531439,140,10000101
1,2,1000010101,78,1587,23393,1,1000010100,265000,10575873,122,10000101
30,9,1000010101,34,1103,12910,3,1000010100,5850000,10875598,1076,10000101
7,5,1000010101,6,1745,10632,1,1000010100,265000,10888787,250,10000101
6,3,1000010101,6,1922,10820,1,1000010100,160000,11092310,118,10000101
5,5,1000010101,6,1231,10521,1,1000010100,950000,11430347,280,10000101
10,3,1000010101,48,1266,14958,1,1000010100,380000,11572050,95,10000101
20,3,1000010101,7,2037,11176,1,1000010100,400000,11578633,190,10000101
0,2,1000010101,6,1746,10652,1,1000010100,109000,11650329,85,10000101
19,2,1000010101,34,1663,13121,1,1000010100,324000,11679233,90,10000101
2,2,1000010101,41,2060,16532,1,1000010100,189000,11715024,85,10000101
15,2,1000010101,16,1829,98273,1,1000010100,183000,11854331,105,10000101
7,1,1000010101,34,2049,12854,1,1000010100,350000,11983443,47,10000101
9,4,1000010101,6,1922,105849,1,1000010100,325000,11988861,192,10000101
10,3,1000010101,16,1554,11603,1,1000010100,175000,12018636,134,10000101
8,2,1000010101,34,1708,13453,1,1000010100,550000,12058235,85,10000101
6,3,1000010101,6,1922,10820,1,1000010100,188000,12174374,118,10000101
3,4,1000010101,6,1922,10991,1,1000010100,360000,12397858,170,10000101
2,5,1000010101,6,1723,96816,2,1000010100,595000,12412143,290,10000101
11,6,1000010101,42,1839,14446,1,1000010100,390000,12450652,350,10000101
0,4,1000010101,1,2033,10171,1,1000010100,1750000,12508011,246,10000101
1,3,1000010101,7,2037,11096,1,1000010100,450000,12672826,130,10000101
18,3,1000010101,6,1231,10512,1,1000010100,300000,12753865,125,10000101
1,2,1000010101,6,1922,10991,1,1000010100,310000,12851142,105,10000101
18,3,1000010101,6,1231,10988,1,1000010100,995000,12884747,158,10000101
8,3,1000010101,34,1185,12883,1,1000010100,640000,13109527,163,10000101
14,3,1000010101,6,1723,11025,1,1000010100,375000,13235688,135,10000101
6,4,1000010101,7,2037,11100,1,1000010100,300000,13288343,210,10000101
20,3,1000010101,6,1723,10377,1,1000010100,260000,13427561,120,10000101
8,6,1000010101,41,2062,16901,1,1000010100,655000,13494914,325,10000101
7,1,1000010101,6,1231,10935,1,1000010100,250000,13519029,85,10000101
16,5,1000010101,34,2012,12877,1,1000010100,690000,13568566,260,10000101
4,3,1000010101,7,2038,11034,2,1000010100,600000,13835246,220,10000101
0,3,1000010101,35,1448,13985,1,1000010100,275000,13928104,130,10000101
10,3,1000010101,35,1677,101988,1,1000010100,68000,14018114,120,10000101
1,3,1000010101,52,1552,15028,1,1000010100,150000,14110534,150,10000101
30,2,1000010101,34,2010,13104,1,1000010100,425000,14119488,100,10000101
9,3,1000010101,35,1448,97194,1,1000010100,680000,14133124,180,10000101
22,2,1000010101,6,1231,10638,1,1000010100,195000,14136451,95,10000101
7,5,1000010101,6,1231,10524,1,1000010100,900000,14279621,300,10000101
8,3,1000010101,10,1294,21123,1,1000010100,415000,1434012,100,10000101
35,8,1000010101,54,2068,15147,3,1000010100,770000,14364102,450,10000101
9,3,1000010101,20,1597,22036,1,1000010100,220000,14440077,155,10000101
26,3,1000010101,6,1746,10463,1,1000010100,282000,14507108,180,10000101
7,1,1000010101,6,1231,10532,1,1000010100,152000,14626182,66,10000101
29,2,1000010101,34,1708,13442,1,1000010100,365000,14751843,80,10000101
30,4,1000010101,31,1383,12448,1,1000010100,275000,14825883,130,10000101
20,5,1000010101,34,2053,13275,1,1000010100,735000,14831186,190,10000101
1,3,1000010101,81,1292,16214,1,1000010100,205000,14903529,105,10000101
8,2,1000010101,6,1922,10820,1,1000010100,111000,14977008,85,10000101
10,3,1000010101,35,1280,23229,1,1000010100,460000,15006615,160,10000101
25,2,1000010101,77,2022,16064,1,1000010100,199000,15078662,110,10000101
5,3,1000010101,6,1922,10820,1,1000010100,172000,15109851,117,10000101
10,5,1000010101,6,1746,10539,1,1000010100,395000,15112928,220,10000101
5,4,1000010101,6,1922,10820,1,1000010100,235000,15148722,190,10000101
6,4,1000010101,35,2056,13956,1,1000010100,595000,15161417,155,10000101
8,2,1000010101,10,1294,21123,1,1000010100,295000,15192578,89,10000101
15,2,1000010101,59,1673,15418,1,1000010100,105000,15195861,95,10000101
8,3,1000010101,6,1723,11024,1,1000010100,330000,15218640,125,10000101
11,2,1000010101,6,1723,10400,1,1000010100,265000,15340363,125,10000101
25,3,1000010101,6,1231,10499,1,1000010100,250000,15439966,110,10000101
10,6,1000010101,6,1231,10503,2,1000010100,875000,15498617,400,10000101
25,2,1000010101,34,1708,13441,1,1000010100,410000,15630073,115,10000101
4,3,1000010101,41,2030,16976,2,1000010100,300000,15644869,158,10000101
0,3,1000010101,6,1231,10531,1,1000010100,277000,15692868,115,10000101
18,4,1000010101,33,2065,12600,1,1000010100,1100000,15709879,260,10000101
7,2,1000010101,57,1156,101000,1,1000010100,235000,15728690,140,10000101
